jornada,equipo_local,equipo_visita,resultado,local_puntos,visita_puntos,local_racha,visita_racha,local_posicion,visita_posicion,diff_puntos,diff_racha,diff_posicion
15,Mazatlán,Querétaro,1,12,16,2,4,17,13,-4,-2,-4
15,Atlético San Luis,Pumas,0,15,30,6,7,15,3,-15,-1,-12
15,Necaxa,Tigres,1,17,21,5,4,11,9,-4,1,-2
15,Cruz Azul,Tijuana,1,29,19,5,4,4,10,10,1,6
15,Monterrey,Pachuca,0,15,31,1,9,14,2,-16,-8,-12
15,Chivas,Puebla,2,34,13,9,0,1,16,21,9,15
15,León,FC Juárez,2,22,16,9,1,8,12,6,8,4
15,América,Toluca,2,22,27,6,5,6,5,-5,1,-1
15,Santos,Atlas,0,9,22,0,7,18,7,-13,-7,-11
